
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     78.70% # Class of committed instruction
system.cpu.commit.committedInstType_0::MemRead    689626968     12.72%     91.42% # Class of committed instruction
system.cpu.commit.committedInstType_0::MemWrite    464753795      8.57%    100.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMemRead        81882      0.00%    100.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMemWrite        42670      0.00%    100.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::total   5419977219                       # Class of committed instruction
system.cpu.commit.commitEligibleSamples     247943848                       # number cycles where commit BW limit reached
system.cpu.dcache.demand_hits::.cpu.data   1072920423                       # number of demand (read+write) hits
system.cpu.dcache.demand_hits::total       1072920423                       # number of demand (read+write) hits
system.cpu.dcache.overall_hits::.cpu.data   1072967521                       # number of overall hits
system.cpu.dcache.overall_hits::total      1072967521                       # number of overall hits
system.cpu.dcache.demand_misses::.cpu.data      5661385                       # number of demand (read+write) misses
system.cpu.dcache.demand_misses::total        5661385                       # number of demand (read+write) misses
system.cpu.dcache.overall_misses::.cpu.data      6694048                       # number of overall misses
system.cpu.dcache.overall_misses::total       6694048                       # number of overall misses
system.cpu.dcache.demand_miss_latency::.cpu.data 318838837400                       # number of demand (read+write) miss cycles
system.cpu.dcache.demand_miss_latency::total 318838837400                       # number of demand (read+write) miss cycles
system.cpu.dcache.overall_miss_latency::.cpu.data 318838837400                       # number of overall miss cycles
system.cpu.dcache.overall_miss_latency::total 318838837400                       # number of overall miss cycles
system.cpu.dcache.demand_accesses::.cpu.data   1078581808                       # number of demand (read+write) accesses
system.cpu.dcache.demand_accesses::total   1078581808                       # number of demand (read+write) accesses
system.cpu.dcache.overall_accesses::.cpu.data   1079661569                       # number of overall (read+write) accesses
system.cpu.dcache.overall_accesses::total   1079661569                       # number of overall (read+write) accesses
system.cpu.dcache.demand_miss_rate::.cpu.data     0.005249                       # miss rate for demand accesses
system.cpu.dcache.demand_miss_rate::total     0.005249                       # miss rate for demand accesses
system.cpu.dcache.overall_miss_rate::.cpu.data     0.006200                       # miss rate for overall accesses
system.cpu.dcache.overall_miss_rate::total     0.006200                       # miss rate for overall accesses
system.cpu.dcache.demand_avg_miss_latency::.cpu.data 56318.169035                       # average overall miss latency
system.cpu.dcache.demand_avg_miss_latency::total 56318.169035                       # average overall miss latency
system.cpu.dcache.overall_avg_miss_latency::.cpu.data 47630.198857                       # average overall miss latency
system.cpu.dcache.overall_avg_miss_latency::total 47630.198857                       # average overall miss latency
system.cpu.dcache.blocked_cycles::no_mshrs     39734864                       # number of cycles access was blocked
system.cpu.dcache.blocked_cycles::no_targets       146739                       # number of cycles access was blocked
system.cpu.dcache.blocked::no_mshrs           1026764                       # number of cycles access was blocked
system.cpu.dcache.blocked::no_targets            1626                       # number of cycles access was blocked
system.cpu.dcache.avg_blocked_cycles::no_mshrs    38.699121                       # average number of cycles each access was blocked
system.cpu.dcache.avg_blocked_cycles::no_targets    90.245387                       # average number of cycles each access was blocked
system.cpu.dcache.writebacks::.writebacks      4100582                       # number of writebacks
system.cpu.dcache.writebacks::total           4100582                       # number of writebacks
system.cpu.dcache.demand_mshr_hits::.cpu.data      2032068                       # number of demand (read+write) MSHR hits
system.cpu.dcache.demand_mshr_hits::total      2032068                       # number of demand (read+write) MSHR hits
system.cpu.dcache.overall_mshr_hits::.cpu.data      2032068                       # number of overall MSHR hits
system.cpu.dcache.overall_mshr_hits::total      2032068                       # number of overall MSHR hits
system.cpu.dcache.demand_mshr_misses::.cpu.data      3629317                       # number of demand (read+write) MSHR misses
system.cpu.dcache.demand_mshr_misses::total      3629317                       # number of demand (read+write) MSHR misses
system.cpu.dcache.overall_mshr_misses::.cpu.data      4661621                       # number of overall MSHR misses
system.cpu.dcache.overall_mshr_misses::total      4661621                       # number of overall MSHR misses
system.cpu.dcache.overall_mshr_uncacheable_misses::.cpu.data       669908                       # number of overall MSHR uncacheable misses
system.cpu.dcache.overall_mshr_uncacheable_misses::total       669908                       # number of overall MSHR uncacheable misses
system.cpu.dcache.demand_mshr_miss_latency::.cpu.data 216044227402                       # number of demand (read+write) MSHR miss cycles
system.cpu.dcache.demand_mshr_miss_latency::total 216044227402                       # number of demand (read+write) MSHR miss cycles
system.cpu.dcache.overall_mshr_miss_latency::.cpu.data 301821338402                       # number of overall MSHR miss cycles
system.cpu.dcache.overall_mshr_miss_latency::total 301821338402                       # number of overall MSHR miss cycles
system.cpu.dcache.overall_mshr_uncacheable_latency::.cpu.data   9376501000                       # number of overall MSHR uncacheable cycles
system.cpu.dcache.overall_mshr_uncacheable_latency::total   9376501000                       # number of overall MSHR uncacheable cycles
system.cpu.dcache.demand_mshr_miss_rate::.cpu.data     0.003365                       # mshr miss rate for demand accesses
system.cpu.dcache.demand_mshr_miss_rate::total     0.003365                       # mshr miss rate for demand accesses
system.cpu.dcache.overall_mshr_miss_rate::.cpu.data     0.004318                       # mshr miss rate for overall accesses
system.cpu.dcache.overall_mshr_miss_rate::total     0.004318                       # mshr miss rate for overall accesses
system.cpu.dcache.demand_avg_mshr_miss_latency::.cpu.data 59527.516445                       # average overall mshr miss latency
system.cpu.dcache.demand_avg_mshr_miss_latency::total 59527.516445                       # average overall mshr miss latency
system.cpu.dcache.overall_avg_mshr_miss_latency::.cpu.data 64746.005392                       # average overall mshr miss latency
system.cpu.dcache.overall_avg_mshr_miss_latency::total 64746.005392                       # average overall mshr miss latency
system.cpu.dcache.overall_avg_mshr_uncacheable_latency::.cpu.data 13996.699547                       # average overall mshr uncacheable latency
system.cpu.dcache.overall_avg_mshr_uncacheable_latency::total 13996.699547                       # average overall mshr uncacheable latency
system.cpu.dcache.replacements                4652768                       # number of replacements
system.cpu.dcache.ReadReq_hits::.cpu.data    611581673                       # number of ReadReq hits
system.cpu.dcache.ReadReq_hits::total       611581673                       # number of ReadReq hits
system.cpu.dcache.ReadReq_misses::.cpu.data      2822870                       # number of ReadReq misses
system.cpu.dcache.ReadReq_misses::total       2822870                       # number of ReadReq misses
system.cpu.dcache.ReadReq_miss_latency::.cpu.data 150054604000                       # number of ReadReq miss cycles
system.cpu.dcache.ReadReq_miss_latency::total 150054604000                       # number of ReadReq miss cycles
system.cpu.dcache.ReadReq_accesses::.cpu.data    614404543                       # number of ReadReq accesses(hits+misses)
system.cpu.dcache.ReadReq_accesses::total    614404543                       # number of ReadReq accesses(hits+misses)
system.cpu.dcache.ReadReq_miss_rate::.cpu.data     0.004594                       # miss rate for ReadReq accesses
system.cpu.dcache.ReadReq_miss_rate::total     0.004594                       # miss rate for ReadReq accesses
system.cpu.dcache.ReadReq_avg_miss_latency::.cpu.data 53156.753233                       # average ReadReq miss latency
system.cpu.dcache.ReadReq_avg_miss_latency::total 53156.753233                       # average ReadReq miss latency
system.cpu.dcache.ReadReq_mshr_hits::.cpu.data      1980804                       # number of ReadReq MSHR hits
system.cpu.dcache.ReadReq_mshr_hits::total      1980804                       # number of ReadReq MSHR hits
system.cpu.dcache.ReadReq_mshr_misses::.cpu.data       842066                       # number of ReadReq MSHR misses
system.cpu.dcache.ReadReq_mshr_misses::total       842066                       # number of ReadReq MSHR misses
system.cpu.dcache.ReadReq_mshr_uncacheable::.cpu.data        43777                       # number of ReadReq MSHR uncacheable
system.cpu.dcache.ReadReq_mshr_uncacheable::total        43777                       # number of ReadReq MSHR uncacheable
system.cpu.dcache.ReadReq_mshr_miss_latency::.cpu.data  53200991000                       # number of ReadReq MSHR miss cycles
system.cpu.dcache.ReadReq_mshr_miss_latency::total  53200991000                       # number of ReadReq MSHR miss cycles
system.cpu.dcache.ReadReq_mshr_uncacheable_latency::.cpu.data   9376501000                       # number of ReadReq MSHR uncacheable cycles
system.cpu.dcache.ReadReq_mshr_uncacheable_latency::total   9376501000                       # number of ReadReq MSHR uncacheable cycles
system.cpu.dcache.ReadReq_mshr_miss_rate::.cpu.data     0.001371                       # mshr miss rate for ReadReq accesses
system.cpu.dcache.ReadReq_mshr_miss_rate::total     0.001371                       # mshr miss rate for ReadReq accesses
system.cpu.dcache.ReadReq_avg_mshr_miss_latency::.cpu.data 63179.122539                       # average ReadReq mshr miss latency
system.cpu.dcache.ReadReq_avg_mshr_miss_latency::total 63179.122539                       # average ReadReq mshr miss latency
system.cpu.dcache.ReadReq_avg_mshr_uncacheable_latency::.cpu.data 214187.838363                       # average ReadReq mshr uncacheable latency
system.cpu.dcache.ReadReq_avg_mshr_uncacheable_latency::total 214187.838363                       # average ReadReq mshr uncacheable latency
system.cpu.dcache.WriteReq_hits::.cpu.data    461338750                       # number of WriteReq hits
system.cpu.dcache.WriteReq_hits::total      461338750                       # number of WriteReq hits
system.cpu.dcache.WriteReq_misses::.cpu.data      2838515                       # number of WriteReq misses
system.cpu.dcache.WriteReq_misses::total      2838515                       # number of WriteReq misses
system.cpu.dcache.WriteReq_miss_latency::.cpu.data 168784233400                       # number of WriteReq miss cycles
system.cpu.dcache.WriteReq_miss_latency::total 168784233400                       # number of WriteReq miss cycles
